% Tag dig fucking sammen pycharm
@RELATION CombinedData

@ATTRIBUTE src_bytes REAL
@ATTRIBUTE dst_bytes REAL
@ATTRIBUTE protocol_type {tcp, udp, icmpv6, None}
@ATTRIBUTE dio_count REAL
@ATTRIBUTE dao_count REAL
@ATTRIBUTE dis_count REAL
@ATTRIBUTE class {normal, anomaly, None}

@DATA
0.0,7308.0,icmpv6,87.0,0.0,0.0,normal
5150.0,0.0,icmpv6,0.0,103.0,0.0,normal
0.0,1950.0,icmpv6,0.0,39.0,0.0,normal
0.0,2250.0,icmpv6,0.0,45.0,0.0,normal
1900.0,0.0,icmpv6,0.0,38.0,0.0,normal
0.0,2300.0,icmpv6,0.0,46.0,0.0,normal
1950.0,0.0,icmpv6,0.0,39.0,0.0,normal
0.0,3950.0,icmpv6,0.0,79.0,0.0,normal
0.0,1950.0,icmpv6,0.0,39.0,0.0,normal
0.0,4750.0,icmpv6,0.0,95.0,0.0,normal
0.0,1450.0,icmpv6,0.0,29.0,0.0,normal
1850.0,0.0,icmpv6,0.0,37.0,0.0,normal
2350.0,0.0,icmpv6,0.0,47.0,0.0,normal
0.0,4872.0,icmpv6,58.0,0.0,0.0,normal
0.0,3250.0,icmpv6,0.0,65.0,0.0,normal
4750.0,0.0,icmpv6,0.0,95.0,0.0,normal
0.0,2050.0,icmpv6,0.0,41.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
2250.0,0.0,icmpv6,0.0,45.0,0.0,normal
0.0,4872.0,icmpv6,58.0,0.0,0.0,normal
0.0,4872.0,icmpv6,58.0,0.0,0.0,normal
0.0,4872.0,icmpv6,58.0,0.0,0.0,normal
2400.0,0.0,icmpv6,0.0,48.0,0.0,normal
0.0,4872.0,icmpv6,58.0,0.0,0.0,normal
0.0,4872.0,icmpv6,58.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,4872.0,icmpv6,58.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,200.0,icmpv6,0.0,4.0,0.0,normal
1850.0,0.0,icmpv6,0.0,37.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,1500.0,icmpv6,0.0,30.0,0.0,normal
0.0,500.0,icmpv6,0.0,10.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
1300.0,0.0,icmpv6,0.0,26.0,0.0,normal
0.0,500.0,icmpv6,0.0,10.0,0.0,normal
0.0,450.0,icmpv6,0.0,9.0,0.0,normal
0.0,650.0,icmpv6,0.0,13.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,150.0,icmpv6,0.0,3.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
600.0,0.0,icmpv6,0.0,12.0,0.0,normal
200.0,0.0,icmpv6,0.0,4.0,0.0,normal
200.0,0.0,icmpv6,0.0,4.0,0.0,normal
500.0,0.0,icmpv6,0.0,10.0,0.0,normal
200.0,0.0,icmpv6,0.0,4.0,0.0,normal
450.0,0.0,icmpv6,0.0,9.0,0.0,normal
0.0,200.0,icmpv6,0.0,4.0,0.0,normal
0.0,800.0,icmpv6,0.0,16.0,0.0,normal
0.0,1000.0,icmpv6,0.0,20.0,0.0,normal
0.0,7308.0,icmpv6,87.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,7308.0,icmpv6,87.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
224.0,0.0,udp,0.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2688.0,icmpv6,32.0,0.0,0.0,normal
1300.0,0.0,icmpv6,0.0,26.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
588.0,0.0,udp,0.0,0.0,0.0,anomaly
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
50.0,0.0,icmpv6,0.0,1.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
50.0,0.0,icmpv6,0.0,1.0,0.0,normal
162.0,0.0,udp,0.0,0.0,0.0,anomaly
50.0,0.0,icmpv6,0.0,1.0,0.0,normal
100.0,0.0,icmpv6,0.0,2.0,0.0,normal
108.0,0.0,udp,0.0,0.0,0.0,normal
200.0,0.0,icmpv6,0.0,4.0,0.0,normal
216.0,0.0,udp,0.0,0.0,0.0,anomaly
216.0,0.0,udp,0.0,0.0,0.0,anomaly
216.0,0.0,udp,0.0,0.0,0.0,anomaly
588.0,0.0,udp,0.0,0.0,0.0,normal
656.0,0.0,udp,0.0,0.0,0.0,normal
162.0,0.0,udp,0.0,0.0,0.0,anomaly
54.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
162.0,0.0,udp,0.0,0.0,0.0,anomaly
54.0,0.0,udp,0.0,0.0,0.0,normal
432.0,0.0,udp,0.0,0.0,0.0,anomaly
580.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
54.0,0.0,udp,0.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
540.0,0.0,udp,0.0,0.0,0.0,anomaly
402.0,0.0,udp,0.0,0.0,0.0,anomaly
0.0,600.0,icmpv6,0.0,12.0,0.0,normal
1800.0,0.0,icmpv6,0.0,36.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,150.0,icmpv6,0.0,3.0,0.0,normal
0.0,200.0,icmpv6,0.0,4.0,0.0,normal
0.0,200.0,icmpv6,0.0,4.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
600.0,0.0,icmpv6,0.0,12.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
772.0,0.0,udp,0.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,250.0,icmpv6,0.0,5.0,0.0,normal
0.0,2688.0,icmpv6,32.0,0.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
0.0,150.0,icmpv6,0.0,3.0,0.0,normal
0.0,800.0,icmpv6,0.0,16.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
378.0,0.0,udp,0.0,0.0,0.0,normal
0.0,400.0,icmpv6,0.0,8.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
356.0,0.0,udp,0.0,0.0,0.0,normal
50.0,0.0,icmpv6,0.0,1.0,0.0,normal
50.0,0.0,icmpv6,0.0,1.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
50.0,0.0,icmpv6,0.0,1.0,0.0,normal
50.0,0.0,icmpv6,0.0,1.0,0.0,normal
0.0,2436.0,icmpv6,29.0,0.0,0.0,normal
50.0,0.0,icmpv6,0.0,1.0,0.0,normal
278.0,0.0,udp,0.0,0.0,0.0,normal
0.0,150.0,icmpv6,0.0,3.0,0.0,normal
